accession_numbers,Substrate_ACC,Gene Names,Substrate_GN
NP_081625,B2RY56,Rbm25,Rbm25
NP_001139653,B7ZW38,HNRNPCL3,HNRNPCL3
NP_780698,B9EJ86,Osbpl8 Kiaa1451 Orp8,Osbpl8
NP_080496,C0HKD8,Mfap1a,Mfap1a
NP_080496,C0HKD9,Mfap1b,Mfap1b
NP_835489,C0HKE1,H2ac4 Hist1h2ab,H2ac4
NP_835489,C0HKE2,H2ac6 Hist1h2ac,H2ac6
NP_835489,C0HKE3,H2ac7 Hist1h2ad,H2ac7
NP_835489,C0HKE4,H2ac8 Hist1h2ae,H2ac8
NP_835489,C0HKE5,H2ac11 Hist1h2ag,H2ac11
NP_835489,C0HKE6,H2ac13 Hist1h2ai,H2ac13
NP_835489,C0HKE7,Hist1h2an,Hist1h2an
NP_835489,C0HKE8,Hist1h2ao,Hist1h2ao
NP_835489,C0HKE9,Hist1h2ap,Hist1h2ap
NP_997251,C9JLW8,MCRIP1 FAM195B GRAN2,MCRIP1
NP_001156772,D3YXK2,Safb Safb1,Safb
NP_932124,E9PZJ8,Ascc3,Ascc3
NP_001074814,E9PZM4,Chd2,Chd2
NP_076331,E9Q557,Dsp,Dsp
NP_001034441,E9Q5C9,Nolc1 Kiaa0035,Nolc1
NP_808348,E9Q5K9,Ythdc1 Kiaa1966,Ythdc1
NP_598708,E9Q7G0,Numa1,Numa1
NP_598541,F6ZDS4,Tpr,Tpr
NP_001028446,G5E8P1,Brd1 Brpf2 Kiaa4191,Brd1
NP_055082,O00193,SMAP C11orf58,SMAP
NP_002807,O00232,PSMD12,PSMD12
NP_002804,O00233,PSMD9,PSMD9
NP_004036,O00244,ATOX1 HAH1,ATOX1
NP_003160,O00267,SUPT5H SPT5 SPT5H,SUPT5H
NP_003176,O00268,TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135,TAF4
NP_001279,O00299,CLIC1 G6 NCC27,CLIC1
NP_001169,O00327,BMAL1 ARNTL BHLHE5 MOP3 PASD3,BMAL1
NP_003468,O00330,PDHX PDX1,PDHX
NP_001047,O00338,SULT1C2 SULT1C1,SULT1C2
NP_006344,O00479,HMGN4 HMG17L3 NHC,HMGN4
NP_005549,O00515,LAD1 LAD,LAD1
NP_006346,O00635,TRIM38 RNF15 RORET,TRIM38
NP_001177666,O00712,NFIB,NFIB
NP_035472,O08547,Sec22b Sec22l1,Sec22b
NP_083550,O08550,Kmt2b Mll2 Trx2 Wbp7,Kmt2b
NP_034085,O08553,Dpysl2 Crmp2 Ulip2,Dpysl2
NP_075614,O08677,Kng1 Kng,Kng1
NP_031479,O08709,Prdx6 Aop2 Ltw4 Prdx5,Prdx6
NP_031887,O08749,Dld,Dld
NP_032288,O08755,Onecut1 Hnf6 Hnf6a,Onecut1
NP_035682,O08784,Tcof1,Tcof1
NP_031861,O08788,Dctn1,Dctn1
NP_058044,O08807,Prdx4,Prdx4
NP_031884,O08808,Diaph1 Diap1,Diaph1
NP_033850,O08997,Atox1,Atox1
NP_032254,O09106,Hdac1,Hdac1
NP_062621,O09167,Rpl21,Rpl21
NP_032155,O09172,Gclm Glclr,Gclm
NP_006006,O14497,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,ARID1A
NP_005774,O14530,TXNDC9 APACD,TXNDC9
NP_004672,O14602,EIF1AY,EIF1AY
NP_001262,O14647,CHD2,CHD2
NP_003473,O14686,KMT2D ALR MLL2 MLL4,KMT2D
NP_005460,O14734,ACOT8 ACTEIII PTE1,ACOT8
NP_004243,O14745,NHERF1 NHERF SLC9A3R1,NHERF1
NP_002245,O14782,KIF3C,KIF3C
NP_002783,O14818,PSMA7 HSPC,PSMA7
NP_001026853,O14879,IFIT3 CIG-49 IFI60 IFIT4 ISG60,IFIT3
NP_001547,O14920,IKBKB IKKB,IKBKB
NP_003633,O14929,HAT1 KAT1,HAT1
NP_001138417,O14950,MYL12B MRLC2 MYLC2B,MYL12B
NP_112740,O14979,HNRNPDL HNRPDL JKTBP,HNRNPDL
NP_003391,O14980,XPO1 CRM1,XPO1
NP_055444,O15013,ARHGEF10 KIAA0294,ARHGEF10
NP_055857,O15014,ZNF609 KIAA0295,ZNF609
NP_001073884,O15042,U2SURP KIAA0332 SR140,U2SURP
NP_004789,O15066,KIF3B KIAA0359,KIF3B
NP_055277,O15116,LSM1 CASM,LSM1
NP_005711,O15143,ARPC1B ARC41,ARPC1B
NP_006311,O15173,PGRMC2 DG6 PMBP,PGRMC2
NP_001172110,O15212,PFDN6 HKE2 PFD6,PFDN6
NP_055051,O15228,GNPAT DAPAT DHAPAT,GNPAT
NP_003670,O15229,KMO,KMO
NP_000294,O15305,PMM2,PMM2
NP_005333,O15347,HMGB3 HMG2A HMG4,HMGB3
NP_817092,O15355,PPM1G PPM1C,PPM1G
NP_003747,O15372,EIF3H EIF3S3,EIF3H
NP_001181,O15382,BCAT2 BCATM BCT2 ECA40,BCAT2
NP_001073964,O15417,TNRC18 CAGL79 KIAA1856,TNRC18
NP_036231,O15446,POLR1G ASE1 CAST CD3EAP PAF49,POLR1G
NP_002604,O15530,PDPK1 PDK1,PDPK1
NP_066963,O15550,KDM6A UTX,KDM6A
NP_031907,O35126,Atn1 Drpla,Atn1
NP_038563,O35127,Grcc10 C10,Grcc10
NP_031557,O35129,Phb2 Bap Bcap37 Rea,Phb2
NP_031538,O35143,Atp5if1 Atpi Atpif1 If1,Atp5if1
NP_032977,O35226,Psmd4 Mcb1,Psmd4
NP_031865,O35286,Dhx15 Ddx15 Deah9,Dhx15
NP_033802,O35381,Anp32a Anp32 Lanp,Anp32a
NP_033052,O35626,Rasd1 Dexras1,Rasd1
NP_034900,O35701,Matn3,Matn3
NP_067485,O35737,Hnrnph1 Hnrph Hnrph1,Hnrnph1
NP_031620,O35887,Calu,Calu
NP_058554,O35963,Rab33b,Rab33b
NP_001349,O43143,DHX15 DBP1 DDX15,DHX15
NP_003790,O43148,RNMT KIAA0398,RNMT
NP_001231855,O43172,PRPF4 PRP4,PRPF4
NP_006614,O43175,PHGDH PGDH3,PHGDH
NP_006132,O43237,DYNC1LI2 DNCLI2 LIC2,DYNC1LI2
NP_002800,O43242,PSMD3,PSMD3
NP_005434,O43252,PAPSS1 ATPSK1 PAPSS,PAPSS1
NP_006340,O43257,ZNHIT1 CGBP1 ZNFN4A1,ZNHIT1
NP_001095868,O43390,HNRNPR HNRPR,HNRNPR
NP_004777,O43396,TXNL1 TRP32 TXL TXNL,TXNL1
NP_006342,O43615,TIMM44 MIMT44 TIM44,TIMM44
NP_001005339,O43665,RGS10,RGS10
NP_001091977,O43670,ZNF207 BUGZ,ZNF207
NP_002482,O43676,NDUFB3,NDUFB3
NP_004915,O43707,ACTN4,ACTN4
NP_001189489,O43709,BUD23 MERM1 WBSCR22 HUSSY-03 PP3381,BUD23
NP_055315,O43719,HTATSF1,HTATSF1
NP_004427,O43768,ENSA,ENSA
NP_008937,O43809,NUDT21 CFIM25 CPSF25 CPSF5,NUDT21
NP_004695,O43818,RRP9 RNU3IP2 U355K,RRP9
NP_001186601,O43852,CALU,CALU
NP_033012,O54724,Cavin1 Ptrf,Cavin1
NP_032279,O54879,Hmgb3 Hmg2a Hmg4,Hmgb3
NP_035923,O54962,Banf1 Baf L2bp1,Banf1
NP_032404,O55091,Impact,Impact
NP_032724,O55125,Nipsnap1,Nipsnap1
NP_001192296,O55131,Septin7 Cdc10 Sept7,Septin7
NP_038704,O55201,Supt5h Supt5,Supt5h
NP_001155196,O55222,Ilk ILK1 ILK2,Ilk
NP_035316,O55234,Psmb5,Psmb5
NP_006256,O60216,RAD21 HR21 KIAA0078 NXP1 SCC1,RAD21
NP_003578,O60231,DHX16 DBP2 DDX16 KIAA0577 PRP2,DHX16
NP_003592,O60264,SMARCA5 SNF2H WCRF135,SMARCA5
NP_055836,O60281,ZNF292 KIAA0530,ZNF292
NP_055640,O60287,URB1 C21orf108 KIAA0539 NOP254 NPA1,URB1
NP_055506,O60306,AQR KIAA0560,AQR
NP_904325,O60333,KIF1B KIAA0591 KIAA1448,KIF1B
NP_001009999,O60341,KDM1A AOF2 KDM1 KIAA0601 LSD1,KDM1A
NP_001073957,O60422,ONECUT3,ONECUT3
NP_002696,O60437,PPL KIAA0568,PPL
NP_006363,O60506,SYNCRIP HNRPQ NSAP1,SYNCRIP
NP_001491,O60547,GMDS,GMDS
NP_005210,O60610,DIAPH1 DIAP1,DIAPH1
NP_009208,O60645,EXOC3 SEC6 SEC6L1,EXOC3
NP_001167618,O60663,LMX1B,LMX1B
NP_005808,O60664,PLIN3 M6PRBP1 TIP47,PLIN3
NP_003350,O60701,UGDH,UGDH
NP_003706,O60763,USO1 VDP,USO1
NP_001013653,O60812,HNRNPCL1 HNRPCL1,HNRNPCL1
NP_542160,O60814,H2BC12 H2BFT HIRIP1 HIST1H2BK,H2BC12
NP_054727,O60826,CCDC22 CXorf37 JM1,CCDC22
NP_001354,O60832,DKC1 NOLA4,DKC1
NP_003783,O60869,EDF1,EDF1
NP_005871,O60884,DNAJA2 CPR3 HIRIP4,DNAJA2
NP_490597,O60885,BRD4 HUNK1,BRD4
NP_002538,O60890,OPHN1,OPHN1
NP_002613,O60925,PFDN1 PFD1,PFDN1
NP_002476,O60934,NBN NBS NBS1 P95,NBN
NP_031868,O70133,Dhx9 Ddx9,Dhx9
NP_032871,O70172,Pip4k2a Pi5p4ka Pip5k2a,Pip4k2a
NP_033307,O70230,Znf143 Staf Zfp143,Znf143
NP_061358,O70250,Pgam2,Pgam2
NP_061266,O70251,Eef1b Eef1b2,Eef1b
NP_064320,O70333,Cript,Cript
NP_035314,O70435,Psma3,Psma3
NP_033492,O70475,Ugdh,Ugdh
NP_001018052,O70494,Sp3,Sp3
NP_059830,O75083,WDR1,WDR1
NP_004841,O75116,ROCK2 KIAA0619,ROCK2
NP_055586,O75150,RNF40 BRE1B KIAA0661,RNF40
NP_055642,O75152,ZC3H11A KIAA0663 ZC3HDC11A,ZC3H11A
NP_056083,O75165,DNAJC13 KIAA0678 RME8,DNAJC13
NP_001474,O75323,NIPSNAP2 GBAS,NIPSNAP2
NP_004598,O75347,TBCA,TBCA
NP_004879,O75348,ATP6V1G1 ATP6G ATP6G1 ATP6J,ATP6V1G1
NP_613258,O75367,MACROH2A1 H2AFY,MACROH2A1
NP_003013,O75368,SH3BGRL,SH3BGRL
NP_001157789,O75369,FLNB FLN1L FLN3 TABP TAP,FLNB
NP_006302,O75376,NCOR1 KIAA1047,NCOR1
NP_006449,O75382,TRIM3 BERP RNF22 RNF97,TRIM3
NP_004068,O75390,CS,CS
NP_004881,O75391,SPAG7,SPAG7
NP_004883,O75396,SEC22B SEC22L1,SEC22B
NP_060362,O75400,PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225,PRPF40A
NP_150091,O75475,PSIP1 DFS70 LEDGF PSIP2,PSIP1
NP_996667,O75521,ECI2 DRS1 HCA88 PECI,ECI2
NP_006549,O75525,KHDRBS3 SALP SLM2,KHDRBS3
NP_006345,O75528,TADA3 ADA3 TADA3L,TADA3
NP_003788,O75530,EED,EED
NP_003851,O75531,BANF1 BAF BCRG1,BANF1
NP_036565,O75533,SF3B1 SAP155,SF3B1
NP_005457,O75586,MED6 ARC33,MED6
NP_006321,O75608,LYPLA1 APT1 LPL1,LYPLA1
NP_005887,O75874,IDH1 PICD,IDH1
NP_055095,O75937,DNAJC8 SPF31 HSPC315 HSPC331,DNAJC8
NP_005862,O75940,SMNDC1 SMNR SPF30,SMNDC1
NP_006347,O75947,ATP5PD ATP5H My032,ATP5PD
NP_056474,O76021,RSL1D1 CATX11 CSIG PBK1 L12,RSL1D1
NP_003150,O76039,CDKL5 STK9,CDKL5
NP_003078,O76070,SNCG BCSG1 PERSYN PRSN,SNCG
NP_035845,O88342,Wdr1,Wdr1
NP_034676,O88351,Ikbkb Ikkb,Ikbkb
NP_058086,O88569,Hnrnpa2b1 Hnrpa2b1,Hnrnpa2b1
NP_034855,O88609,Lmx1b,Lmx1b
NP_032974,O88685,Psmc3 Tbp1,Psmc3
NP_059089,O88696,Clpp,Clpp
NP_031593,O88737,Bsn Kiaa0434,Bsn
NP_001104790,O88844,Idh1,Idh1
NP_004730,O94776,MTA2 MTA1L1 PID,MTA2
NP_055635,O94826,TOMM70 KIAA0719 TOM70 TOMM70A,TOMM70
NP_055643,O94842,TOX4 C14orf92 KIAA0737,TOX4
NP_055465,O94892,ZNF432 KIAA0798,ZNF432
NP_001229766,O94973,AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899,AP2A2
NP_055779,O95208,EPN2 KIAA1065,EPN2
NP_976225,O95218,ZRANB2 ZIS ZNF265,ZRANB2
NP_003688,O95221,OR5F1,OR5F1
NP_008998,O95251,KAT7 HBO1 HBOa MYST2,KAT7
NP_036220,O95336,PGLS,PGLS
NP_001036015,O95347,SMC2 CAPE SMC2L1 PRO0324,SMC2
NP_009191,O95372,LYPLA2 APT2,LYPLA2
NP_001186846,O95394,PGM3 AGM1,PGM3
NP_055299,O95396,MOCS3 UBA4,MOCS3
NP_001230575,O95400,CD2BP2 KIAA1178,CD2BP2
NP_068506,O95425,SVIL,SVIL
NP_036243,O95433,AHSA1 C14orf3 HSPC322,AHSA1
NP_002573,O95453,PARN DAN,PARN
NP_006521,O95619,YEATS4 GAS41,YEATS4
NP_036536,O95626,ANP32D PP32R2,ANP32D
NP_004684,O95678,KRT75 K6HF KB18,KRT75
NP_919410,O95684,CEP43 FGFR1OP FOP,CEP43
NP_004274,O95716,RAB3D GOV RAB16,RAB3D
NP_001032354,O95749,GGPS1,GGPS1
NP_055018,O95782,AP2A1 ADTAA CLAPA1,AP2A1
NP_055129,O95786,RIGI DDX58,RIGI
NP_059347,O95793,STAU1 STAU,STAU1
NP_004273,O95816,BAG2,BAG2
NP_004272,O95817,BAG3 BIS,BAG3
NP_036287,O95834,EML2 EMAP2 EMAPL2,EML2
NP_006076,O95861,BPNT1,BPNT1
NP_039268,O95865,DDAH2 DDAH G6A NG30,DDAH2
NP_004843,O95948,ONECUT2 HNF6B,ONECUT2
NP_001035889,O96028,NSD2 KIAA1090 MMSET TRX5 WHSC1,NSD2
NP_034119,P00015,Cyct,Cyct
NP_683725,P00167,CYB5A CYB5,CYB5A
NP_001158886,P00338,LDHA PIG19,LDHA
NP_005262,P00367,GLUD1 GLUD,GLUD1
NP_001165131,P00387,CYB5R3 DIA1,CYB5R3
NP_000628,P00390,GSR GLUR GRD1,GSR
NP_000185,P00492,HPRT1 HPRT,HPRT1
NP_038584,P00493,Hprt1 Hprt,Hprt1
NP_002071,P00505,GOT2 KYAT4,GOT2
NP_000282,P00558,PGK1 PGKA MIG10 OK/SW-cl.110,PGK1
NP_000467,P00568,AK1,AK1
NP_446464,P00966,ASS1 ASS,ASS1
NP_002458,P01106,MYC BHLHE39,MYC
NP_034979,P01108,Myc,Myc
NP_032246,P02088,Hbb-b1,Hbb-b1
NP_058652,P02089,Hbb-b2,Hbb-b2
NP_005545,P02538,KRT6A K6A KRT6D,KRT6A
NP_733821,P02545,LMNA LMN1,LMNA
NP_000030,P02647,APOA1,APOA1
NP_000468,P02768,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,ALB
NP_005944,P02795,MT2A CES1 MT2,MT2A
NP_001743,P04040,CAT,CAT
NP_001230106,P04075,ALDOA ALDA,ALDOA
NP_000091,P04080,CSTB CST6 STFB,CSTB
NP_000691,P04083,ANXA1 ANX1 LPC1,ANXA1
NP_032499,P04104,Krt1 Krt2-1,Krt1
NP_077717,P04117,Fabp4 Ap2,Fabp4
NP_000265,P04181,OAT,OAT
NP_005546,P04259,KRT6B K6B KRTL1,KRT6B
NP_002037,P04406,GAPDH GAPD CDABP0047 OK/SW-cl.12,GAPDH
NP_001003962,P04632,CAPNS1 CAPN4 CAPNS,CAPNS1
NP_000537,P04637,TP53 P53,TP53
NP_005937,P04731,MT1A MT1S,MT1A
NP_783316,P04732,MT1E,MT1E
NP_001531,P04792,HSPB1 HSP27 HSP28,HSPB1
NP_002941,P04843,RPN1,RPN1
NP_003504,P04908,H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE,H2AC4
NP_000026,P05062,ALDOB ALDB,ALDOB
NP_033787,P05063,Aldoc Aldo3 Scrg2,Aldoc
NP_001170779,P05064,Aldoa Aldo1,Aldoa
NP_002955,P05109,S100A8 CAGA CFAG MRP8,S100A8
NP_004956,P05114,HMGN1 HMG14,HMGN1
NP_001143,P05141,SLC25A5 AAC2 ANT2,SLC25A5
NP_001171485,P05166,PCCB,PCCB
NP_034455,P05202,Got2 Got-2,Got2
NP_005508,P05204,HMGN2 HMG17,HMGN2
NP_035784,P05213,Tuba1b Tuba2,Tuba1b
NP_033475,P05214,Tuba3a Tuba3; Tuba3b Tuba7,Tuba3a
NP_000995,P05387,RPLP2 D11S2243E RPP2,RPLP2
NP_001138229,P05408,SCG5 SGNE1,SCG5
NP_003133,P05455,SSB,SSB
NP_003211,P05549,TFAP2A AP2TF TFAP2,TFAP2A
NP_000215,P05783,KRT18 CYK18 PIG46,KRT18
NP_034794,P05784,Krt18 Kerd Krt1-18,Krt18
NP_002264,P05787,KRT8 CYK8,KRT8
NP_000168,P06396,GSN,GSN
NP_001092755,P06454,PTMA TMSA,PTMA
NP_001777,P06493,CDK1 CDC2 CDC28A CDKN1 P34CDC2,CDK1
NP_001677,P06576,ATP5F1B ATP5B ATPMB ATPSB,ATP5F1B
NP_055439,P06703,S100A6 CACY,S100A6
NP_001124151,P06730,EIF4E EIF4EL1 EIF4F,EIF4E
NP_001815,P06732,CKM CKMM,CKM
NP_001419,P06733,ENO1 ENO1L1 MBPB1 MPB1,ENO1
NP_002854,P06737,PYGL,PYGL
NP_000166,P06744,GPI,GPI
NP_032181,P06745,Gpi Gpi1,Gpi
NP_002511,P06748,NPM1 NPM,NPM1
NP_689476,P06753,TPM3,TPM3
NP_066402,P06899,H2BC11 H2BFR HIST1H2BJ,H2BC11
NP_001171488,P07108,DBI,DBI
NP_002291,P07195,LDHB,LDHB
NP_620061,P07205,PGK2 PGKB,PGK2
NP_000909,P07237,P4HB ERBA2L PDI PDIA1 PO4DB,P4HB
NP_005309,P07305,H1-0 H1F0 H1FV,H1-0
NP_031736,P07310,Ckm Ckmm,Ckm
NP_001002858,P07355,ANXA2 ANX2 ANX2L4 CAL1H LPC2D,ANXA2
NP_031611,P07356,Anxa2 Anx2 Cal1h,Anxa2
NP_821133,P07437,TUBB TUBB5 OK/SW-cl.56,TUBB
NP_005172,P07451,CA3,CA3
NP_033784,P07724,Alb Alb-1 Alb1,Alb
NP_005013,P07737,PFN1,PFN1
NP_032501,P07744,Krt4 Krt2-4,Krt4
NP_033269,P07758,Serpina1a Dom1 Spi1-1,Serpina1a
NP_004437,P07814,EPRS1 EPRS GLNS PARS QARS QPRS PIG32,EPRS1
NP_001899,P07858,CTSB CPSB,CTSB
NP_001017963,P07900,HSP90AA1 HSP90A HSPC1 HSPCA,HSP90AA1
NP_034610,P07901,Hsp90aa1 Hsp86 Hsp86-1 Hspca,Hsp90aa1
NP_112604,P07910,HNRNPC HNRPC,HNRNPC
NP_005995,P07919,UQCRH,UQCRH
NP_003280,P07951,TPM2 TMSB,TPM2
NP_000134,P07954,FH,FH
NP_033917,P08003,Pdia4 Cai Erp72,Pdia4
NP_035595,P08032,Spta1 Spna1 Spta,Spta1
NP_031647,P08074,Cbr2,Cbr2
NP_035761,P08113,Hsp90b1 Grp94 Tra-1 Tra1,Hsp90b1
NP_001146,P08133,ANXA6 ANX6,ANXA6
NP_033138,P08207,S100a10 Cal1l,S100a10
NP_035564,P08228,Sod1,Sod1
NP_001160158,P08237,PFKM PFKX,PFKM
NP_001258898,P08238,HSP90AB1 HSP90B HSPC2 HSPCB,HSP90AB1
NP_032643,P08249,Mdh2 Mor1,Mdh2
NP_001166925,P08559,PDHA1 PHE1A,PDHA1
NP_001907,P08574,CYC1,CYC1
NP_003080,P08621,SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,SNRNP70
NP_001231931,P08651,NFIC NFI,NFIC
NP_003371,P08670,VIM,VIM
NP_002267,P08727,KRT19,KRT19
NP_005547,P08729,KRT7 SCL,KRT7
NP_001145,P08758,ANXA5 ANX5 ENX2 PP4,ANXA5
NP_004587,P09012,SNRPA,SNRPA
NP_112467,P09041,Pgk2 Pgk-2,Pgk2
NP_001598,P09110,ACAA1 ACAA PTHIO,ACAA1
NP_000843,P09211,GSTP1 FAEES3 GST3,GSTP1
NP_002296,P09382,LGALS1,LGALS1
NP_035010,P09405,Ncl Nuc,Ncl
NP_032854,P09411,Pgk1 Pgk-1,Pgk1
NP_002119,P09429,HMGB1 HMG1,HMGB1
NP_001121100,P09467,FBP1 FBP,FBP1
NP_000552,P09488,GSTM1 GST1,GSTM1
NP_001018007,P09493,TPM1 C15orf13 TMSA,TPM1
NP_009027,P09496,CLTA,CLTA
NP_001144,P09525,ANXA4 ANX4,ANXA4
NP_058653,P09602,Hmgn2 Hmg-17 Hmg17,Hmgn2
NP_000099,P09622,DLD GCSL LAD PHE3,DLD
NP_112420,P09651,HNRNPA1 HNRPA1,HNRNPA1
NP_003081,P09661,SNRPA1,SNRPA1
NP_038699,P09671,Sod2 Sod-2,Sod2
NP_001609,P09874,PARP1 ADPRT PPOL,PARP1
NP_058633,P09884,POLA1 POLA,POLA1
NP_001538,P09913,IFIT2 CIG-42 G10P2 IFI54 ISG54,IFIT2
NP_005156,P09972,ALDOC ALDC,ALDOC
NP_002097,P0C0S5,H2AZ1 H2AFZ H2AZ,H2AZ1
NP_058030,P0C0S6,H2az1 H2afz H2az,H2az1
NP_003501,P0C0S8,H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM,H2AC11
NP_001094972,P0CL69,Znf703 Zeppo1 Zfp703 Zpo1,Znf703
NP_001139653,P0DMR1,HNRNPCL4,HNRNPCL4
NP_005337,P0DMV8,HSPA1A HSP72 HSPA1 HSX70,HSPA1A
NP_005337,P0DMV9,HSPA1B HSP72,HSPA1B
NP_001028622,P0DOV1,Mnda Ifi205b,Mnda
NP_032355,P0DOV2,Ifi204,Ifi204
NP_001734,P0DP23,CALM1 CALM CAM CAM1,CALM1
NP_001734,P0DP24,CALM2 CAM2 CAMB,CALM2
NP_001734,P0DP25,CALM3 CALML2 CAM3 CAMC CAMIII,CALM3
NP_031616,P0DP26,Calm1 Calm Cam Cam1,Calm1
NP_031616,P0DP27,Calm2 Cam2 CamC,Calm2
NP_031616,P0DP28,Calm3 Cam3 Camc,Calm3
NP_001013683,P0DPA2,VSIG8 C1orf204,VSIG8
NP_525125,P0DPH8,TUBA3D,TUBA3D
NP_004640,P0DPI2,GATD3 C21orf33 GATD3A,GATD3
NP_001258604,P0DQW0,ZC3H11C,ZC3H11C
NP_034860,P10107,Anxa1 Anx1 Lpc-1 Lpc1,Anxa1
NP_034236,P10126,Eef1a1 Eef1a,Eef1a1
NP_004591,P10155,RO60 SSA2 TROVE2,RO60
NP_001073885,P10243,MYBL1 AMYB,MYBL1
NP_005312,P10412,H1-4 H1F4 HIST1H1E,H1-4
NP_001922,P10515,DLAT DLTA,DLAT
NP_003320,P10599,TXN TRDX TRX TRX1,TXN
NP_001853,P10606,COX5B,COX5B
NP_001116538,P10636,MAPT MAPTL MTBT1 TAU,MAPT
NP_001033698,P10637,Mapt Mtapt Tau,Mapt
NP_035790,P10639,Txn Txn1,Txn
NP_001153223,P10711,Tcea1 Tceat,Tcea1
NP_001975,P10768,ESD,ESD
NP_002147,P10809,HSPD1 HSP60,HSPD1
NP_835508,P10853,H2bc7 H2b-f Hist1h2bf; H2bc11 H2b-j Hist1h2bj; H2bc13 H2b-l Hist1h2bl; H2bc15 H2b-n Hist1h2bn,H2bc7
NP_835507,P10854,H2bc14 Hist1h2bm,H2bc14
NP_032223,P10922,H1-0 H1f0 H1fv,H1-0
NP_005338,P11021,HSPA5 GRP78,HSPA5
NP_035424,P11031,Sub1 Pc4 Rpo2tc1,Sub1
NP_002461,P11055,MYH3,MYH3
NP_006588,P11142,HSPA8 HSC70 HSP73 HSPA10,HSPA8
NP_000364,P11172,UMPS OK/SW-cl.21,UMPS
NP_000916,P11177,PDHB PHE1B,PDHB
NP_002853,P11216,PYGB,PYGB
NP_005600,P11217,PYGM,PYGM
NP_003277,P11387,TOP1,TOP1
NP_001058,P11388,TOP2A TOP2,TOP2A
NP_032328,P11499,Hsp90ab1 Hsp84 Hsp84-1 Hspcb,Hsp90ab1
NP_005947,P11586,MTHFD1 MTHFC MTHFD,MTHFD1
NP_112447,P11679,Krt8 Krt2-8,Krt8
NP_803126,P11798,Camk2a,Camk2a
NP_002559,P11940,PABPC1 PAB1 PABP PABP1 PABPC2,PABPC1
NP_038714,P11983,Tcp1 Cct1 Ccta,Tcp1
NP_002583,P12004,PCNA,PCNA
NP_476429,P12035,KRT3,KRT3
NP_066554,P12036,NEFH KIAA0845 NFH,NEFH
NP_002100,P12081,HARS1 HARS HRS,HARS1
NP_001142,P12235,SLC25A4 AAC1 ANT1,SLC25A4
NP_001627,P12236,SLC25A6 AAC3 ANT3 CDABP0051,SLC25A6
NP_034498,P12265,Gusb Gus Gus-s,Gusb
NP_000875,P12268,IMPDH2 IMPD2,IMPDH2
NP_003283,P12270,TPR,TPR
NP_945316,P12272,PTHLH PTHRP,PTHLH
NP_032852,P12382,Pfkl Pfk-l Pfkb,Pfkl
